t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
0.0,-0.1855685,0.2296352,0.04936327,-0.01117010721276371,-0.017453292519943295,0.18046704465621366,-0.02566521,0.03391143,0.09939429,0.0001777373497060945,4.3484895766731236e-05,3.0202957612346915e-05,80.0,80.0,80.0,80.0,80.0,80.0
0.10006,-0.1838247,0.2253611,0.04724398,-0.01117010721276371,-0.017453292519943295,0.18046704465621366,-0.02374271,0.0299129,0.09702691,0.0004269602439812232,0.00044081990357131023,-0.000510519801782629,80.0,80.0,80.0,80.0,80.0,80.0
0.199975,-0.1807997,0.222805,0.04915751,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.02209031,0.02814505,0.09743525,6.169047755416165e-05,0.00034979853961885314,-0.0007559813369867846,80.0,80.0,80.0,80.0,80.0,80.0
0.300069,-0.179172,0.2215857,0.05004695,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.02084178,0.026801,0.09699723,-3.195844468058785e-05,0.00012613222232799707,0.0006653497050562978,80.0,80.0,80.0,80.0,80.0,80.0
0.399869,-0.1766625,0.2182528,0.05059146,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.01989217,0.0239481,0.09671402,0.0007602092225668158,-4.24454474774135e-05,0.00045328190349640013,80.0,80.0,80.0,80.0,80.0,80.0
0.500088,-0.1754374,0.2163254,0.05189428,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.01903192,0.02285315,0.09662922,8.72705117635811e-06,3.885054045720322e-05,-6.352766348468844e-05,80.0,80.0,80.0,80.0,80.0,80.0
0.599912,-0.1736921,0.2144439,0.0573602,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.01840693,0.02107847,0.09781499,-0.00012835119903239762,-0.0001534364323988767,-0.00011356972634457732,80.0,80.0,80.0,80.0,80.0,80.0
0.699896,-0.1730722,0.2135784,0.06031324,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01832632,0.01990837,0.09794135,4.732638290366327e-05,0.0003145126945325082,0.0003912356231209269,80.0,80.0,80.0,80.0,80.0,80.0
0.800049,-0.1709108,0.2137736,0.06367376,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01757958,0.01974487,0.09881399,0.00012493297169236675,0.00017359927876937112,0.0004439187356582261,80.0,80.0,80.0,80.0,80.0,80.0
0.900072,-0.1692068,0.2146995,0.06627791,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01681521,0.02022529,0.09898847,-0.00026480414663938287,-3.210473817849002e-05,-0.00044235142998993516,80.0,80.0,80.0,80.0,80.0,80.0
0.999928,-0.1680285,0.2141187,0.06990258,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01652195,0.01955386,0.09990025,0.00015456084331618152,-0.00014769869738953036,-0.0004611022002758111,80.0,80.0,80.0,80.0,80.0,80.0
1.100054,-0.1678548,0.2142501,0.0733258,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01647017,0.01895021,0.1006223,-0.0003774360028571085,-0.00017374941199162767,0.0009605091416451417,80.0,80.0,80.0,80.0,80.0,80.0
1.19987,-0.1658422,0.2145059,0.07396936,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01575784,0.01855969,0.09903713,7.225437955783017e-05,1.824179736940929e-05,0.00047712606813837106,80.0,80.0,80.0,80.0,80.0,80.0
1.300064,-0.1649367,0.2152737,0.07581037,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01510078,0.01836791,0.09806409,0.0006657797541839894,0.0004737437945809312,2.71662767000945e-05,80.0,80.0,80.0,80.0,80.0,80.0
1.399965,-0.1628015,0.2166768,0.07825171,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01445211,0.01868344,0.0975713,-0.00029204664186791197,0.0007350604243089791,0.00042870766762832,80.0,80.0,80.0,80.0,80.0,80.0
1.500039,-0.1617764,0.2184042,0.07824791,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01438709,0.01934486,0.09681471,-3.0624646612921268e-06,0.0003890194040367445,-0.00045846361151264607,80.0,80.0,80.0,80.0,80.0,80.0
1.599897,-0.1601939,0.2203221,0.0780507,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.01375549,0.01982672,0.09623295,8.076978861843294e-05,-0.0004921578908540973,-0.00032682372347730054,80.0,80.0,80.0,80.0,80.0,80.0
1.699924,-0.1595636,0.2224724,0.07693953,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.01292621,0.02059332,0.09538402,0.00023175459192361825,-0.00037102575758038377,6.750050410112558e-05,80.0,80.0,80.0,80.0,80.0,80.0
1.80047,-0.1578303,0.2228973,0.0763067,-0.011344640137963142,-0.017453292519943295,0.1806415775814131,-0.01246865,0.02005825,0.09473234,0.0002938921530189708,-0.000756536526221844,0.0007320818454075254,80.0,80.0,80.0,80.0,80.0,80.0
1.900085,-0.1565693,0.2232607,0.07542623,-0.011344640137963142,-0.017453292519943295,0.18046704465621366,-0.01233341,0.01955065,0.09384169,0.0006186097876878897,0.00014861834627899123,0.0001441200568379487,80.0,80.0,80.0,80.0,80.0,80.0
1.999897,-0.1539109,0.2197264,0.06865239,-0.011519173063162576,-0.017453292519943295,0.18046704465621366,-0.01180299,0.01662836,0.09025563,0.0001973705584617788,0.00017573947131133662,-0.000372122522482337,80.0,80.0,80.0,80.0,80.0,80.0
2.100011,-0.1524193,0.2173674,0.06210494,-0.011693705988362009,-0.017627825445142728,0.18046704465621366,-0.01121975,0.01429393,0.08732571,0.0002385077943983599,0.0002149294434014677,-0.0004105813761488076,80.0,80.0,80.0,80.0,80.0,80.0
2.19991,-0.1478824,0.2145211,0.0552737,-0.011693705988362009,-0.017627825445142728,0.18046704465621366,-0.008740221,0.01225516,0.08381552,-0.000189778899814379,-0.0006010170433607122,0.00022357371012074522,80.0,80.0,80.0,80.0,80.0,80.0
2.300108,-0.1448416,0.2127273,0.05140119,-0.011693705988362009,-0.017627825445142728,0.18046704465621366,-0.007730376,0.01130218,0.08131297,0.0009010674161124197,-3.20352391676756e-05,0.0007077023882839679,80.0,80.0,80.0,80.0,80.0,80.0
2.399899,-0.1414275,0.2113568,0.04860948,-0.011693705988362009,-0.017627825445142728,0.1806415775814131,-0.00647274,0.0104767,0.07898206,-0.0003303943180610306,-0.00018644462281136904,-3.1692316876243755e-06,80.0,80.0,80.0,80.0,80.0,80.0
