t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
0,-0.1855685,0.2296352,0.04936327,-0.011170107,-0.017453293,0.180467045,-0.02566521,0.03391143,0.09939429,0.000177737,4.35E-05,3.02E-05,80,80,80,80,80,80
0.10006,-0.1838247,0.2253611,0.04724398,-0.011170107,-0.017453293,0.180467045,-0.02374271,0.0299129,0.09702691,0.00042696,0.00044082,-0.00051052,80,80,80,80,80,80
0.199975,-0.1807997,0.222805,0.04915751,-0.01134464,-0.017453293,0.180467045,-0.02209031,0.02814505,0.09743525,6.17E-05,0.000349799,-0.000755981,80,80,80,80,80,80
0.300069,-0.179172,0.2215857,0.05004695,-0.01134464,-0.017453293,0.180467045,-0.02084178,0.026801,0.09699723,-3.20E-05,0.000126132,0.00066535,80,80,80,80,80,80
0.399869,-0.1766625,0.2182528,0.05059146,-0.01134464,-0.017453293,0.180467045,-0.01989217,0.0239481,0.09671402,0.000760209,-4.24E-05,0.000453282,80,80,80,80,80,80
0.500088,-0.1754374,0.2163254,0.05189428,-0.01134464,-0.017453293,0.180467045,-0.01903192,0.02285315,0.09662922,8.73E-06,3.89E-05,-6.35E-05,80,80,80,80,80,80
0.599912,-0.1736921,0.2144439,0.0573602,-0.01134464,-0.017453293,0.180467045,-0.01840693,0.02107847,0.09781499,-0.000128351,-0.000153436,-0.00011357,80,80,80,80,80,80
0.699896,-0.1730722,0.2135784,0.06031324,-0.011519173,-0.017453293,0.180467045,-0.01832632,0.01990837,0.09794135,4.73E-05,0.000314513,0.000391236,80,80,80,80,80,80
0.800049,-0.1709108,0.2137736,0.06367376,-0.011519173,-0.017453293,0.180467045,-0.01757958,0.01974487,0.09881399,0.000124933,0.000173599,0.000443919,80,80,80,80,80,80
0.900072,-0.1692068,0.2146995,0.06627791,-0.011519173,-0.017453293,0.180467045,-0.01681521,0.02022529,0.09898847,-0.000264804,-3.21E-05,-0.000442351,80,80,80,80,80,80
0.999928,-0.1680285,0.2141187,0.06990258,-0.011519173,-0.017453293,0.180467045,-0.01652195,0.01955386,0.09990025,0.000154561,-0.000147699,-0.000461102,80,80,80,80,80,80
1.100054,-0.1678548,0.2142501,0.0733258,-0.011519173,-0.017453293,0.180467045,-0.01647017,0.01895021,0.1006223,-0.000377436,-0.000173749,0.000960509,80,80,80,80,80,80
1.19987,-0.1658422,0.2145059,0.07396936,-0.011519173,-0.017453293,0.180467045,-0.01575784,0.01855969,0.09903713,7.23E-05,1.82E-05,0.000477126,80,80,80,80,80,80
1.300064,-0.1649367,0.2152737,0.07581037,-0.011519173,-0.017453293,0.180467045,-0.01510078,0.01836791,0.09806409,0.00066578,0.000473744,2.72E-05,80,80,80,80,80,80
