t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
0,0.6995986,-2.273905,987.4164,-3.15,6.83,64.7,-0.06226134,0.01639644,1.522449,-0.5673782,-0.2811898,-4.182965,74.027,74.027,74.027,74.027,74.027,74.027
0.099902,0.7037864,-2.273941,987.2694,-3.49,7.05,64.46,-0.06092341,0.01595488,1.484022,-2.097111,-1.824492,0.7333105,74.027,74.027,74.027,74.027,74.027,74.027
0.199993,0.7083381,-2.274937,987.123,-3.33,7.08,64.34,-0.06650741,0.006632212,1.522867,-3.820537,-2.712842,-2.487491,74.027,74.027,74.027,74.027,74.027,74.027
0.299877,0.7116523,-2.275609,986.9761,-3.39,7.05,64.23,-0.07394173,0.04690604,1.488285,2.388218,1.292275,-0.7897942,74.027,74.027,74.027,74.027,74.027,74.027
0.399896,0.7155676,-2.277305,986.8282,-3.2,7.14,64.09,-0.06386939,0.02851736,1.499565,-2.170133,0.453045,-2.827976,74.027,74.027,74.027,74.027,74.027,74.027
0.499944,0.71849,-2.279419,986.6797,-3.28,6.98,63.99,-0.02900026,0.02466478,1.52864,5.866791,2.524996,-0.9613225,74.027,74.027,74.027,74.027,74.027,74.027
0.600211,0.7219393,-2.282416,986.528,-3.38,6.98,63.86,-0.07738625,0.05923326,1.544115,2.413245,-2.443988,-3.205076,74.027,74.027,74.027,74.027,74.027,74.027
0.699888,0.7240433,-2.284794,986.3721,-3.44,7.16,63.76,-0.04162525,0.04863765,1.481776,0.2691751,-6.047274,-0.8722475,74.027,74.027,74.027,74.027,74.027,74.027
0.799945,0.7271978,-2.288339,986.215,-3.37,7.07,63.61,-0.04560342,0.05135791,1.555696,-0.5585904,1.597351,-1.719719,74.027,74.027,74.027,74.027,74.027,74.027
0.899954,0.7302977,-2.29296,986.0566,-3.41,7.04,63.49,-0.09428411,0.08290088,1.51693,-6.604405,1.068485,-2.760525,74.027,74.027,74.027,74.027,74.027,74.027
0.999887,0.7340538,-2.298317,985.8995,-3.58,7.26,63.4,-0.04453984,0.06419237,1.505996,2.122409,3.820625,1.005537,74.027,74.027,74.027,74.027,74.027,74.027
1.100038,0.7370782,-2.303492,985.7424,-3.66,7.27,63.24,-0.05455389,0.07431372,1.534384,-0.3769647,2.657616,-1.740398,74.027,74.027,74.027,74.027,74.027,74.027
1.199922,0.7401891,-2.309161,985.5867,-3.78,7.39,63.17,-0.05440156,0.06990394,1.480872,-2.506369,-0.04331971,-0.6818372,74.027,74.027,74.027,74.027,74.027,74.027
1.299882,0.7414091,-2.314277,985.4343,-3.95,7.38,63.1,-0.03508188,0.07464683,1.470186,1.715824,1.452398,-0.9502925,74.027,74.027,74.027,74.027,74.027,74.027
1.399921,0.7430458,-2.319949,985.2789,-3.97,7.16,63.14,-0.03396314,0.05858222,1.488387,3.884882,2.541104,0.8012416,74.027,74.027,74.027,74.027,74.027,74.027
1.499972,0.7439801,-2.324871,985.1215,-4.14,7.28,63.04,0.001662901,0.06695132,1.522137,3.044008,0.6702878,-0.02870296,89.774,89.774,89.774,89.774,89.774,89.774
1.599954,0.7453574,-2.330336,984.9667,-4.07,7.41,63.15,-0.00585152,0.06375229,1.512652,2.834518,-0.2749846,2.378497,107.15,107.15,107.15,107.15,107.15,107.15
1.699913,0.7431252,-2.335466,984.8141,-4.11,7.46,63.14,-0.04399484,0.05966636,1.516746,-1.335224,0.6203766,1.110871,125.069,125.069,125.069,125.069,125.069,125.069
1.800003,0.7405956,-2.340557,984.663,-4.2,7.62,63.22,-0.03375088,0.0629764,1.466652,-4.835093,-2.152858,-0.6652363,129.956,129.956,129.956,129.956,129.956,129.956
1.90015,0.7358614,-2.345892,984.5131,-4.1,7.57,63.28,-0.006394136,0.07573952,1.479244,2.362219,0.09791743,1.99074,129.956,129.956,129.956,129.956,129.956,129.956
1.999934,0.7318248,-2.350875,984.3635,-3.83,7.73,63.42,0.000810442,0.0504295,1.424552,2.205866,4.732285,1.944828,129.956,129.956,129.956,129.956,129.956,129.956
2.099978,0.7266941,-2.355269,984.2123,-3.82,7.74,63.52,-0.009159475,0.05389548,1.457789,1.074502,1.337674,-0.123758,129.956,129.956,129.956,129.956,129.956,129.956
2.199913,0.7225093,-2.359586,984.0616,-3.8,7.71,63.62,-0.009581883,0.05898159,1.468256,1.365089,0.0595287,1.993568,129.956,129.956,129.956,129.956,129.956,129.956
2.29993,0.7185432,-2.363838,983.9111,-3.83,8,63.84,0.02869824,0.03128541,1.475224,2.954132,-0.7735234,1.87855,129.956,129.956,129.956,129.956,129.956,129.956
2.400099,0.7162154,-2.36758,983.7573,-3.57,8.11,64.01,-0.02558309,0.04318098,1.46801,-6.156241,3.531927,3.137397,129.956,129.956,129.956,129.956,129.956,129.956
2.499935,0.7141839,-2.370917,983.6017,-3.69,8.24,64.09,0.003657379,0.02194693,1.446787,-1.180438,3.993372,2.02582,129.956,129.956,129.956,129.956,129.956,129.956
2.599926,0.71344,-2.373502,983.447,-3.97,8.29,64.36,-0.008252266,0.03667459,1.465856,-1.028067,-2.962055,3.040157,129.956,129.956,129.956,129.956,129.956,129.956
2.699965,0.7115197,-2.374382,983.2933,-3.99,8.21,64.42,-0.0311539,0.002507733,1.473278,1.366386,-0.3947893,-0.4089864,129.956,129.956,129.956,129.956,129.956,129.956
2.799902,0.7099934,-2.37413,983.1395,-4.1,8.09,64.58,-0.006088718,-0.006961066,1.436746,0.953819,-2.498907,1.280783,129.956,129.956,129.956,129.956,129.956,129.956
2.900036,0.7078554,-2.372716,982.984,-3.93,7.98,64.77,-0.003556347,-0.01618451,1.436592,-0.611899,1.555054,5.243723,129.956,129.956,129.956,129.956,129.956,129.956
2.999884,0.7063298,-2.370262,982.8267,-3.78,7.91,64.91,0.005235252,-0.0327667,1.446081,-0.8175827,-1.846714,1.401596,129.956,129.956,129.956,129.956,129.956,129.956
